City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tiksi,71.6872,128.8694,43.07,81,83,9.48,RU,1628019158
Baykit,61.67,96.37,62.28,89,76,3.96,RU,1628019158
Yellowknife,62.456,-114.3525,62.56,67,90,5.99,CA,1628019069
Pevek,69.7008,170.3133,37.24,86,67,3.74,RU,1628019159
Adrar,20.5022,-10.0711,91.9,32,12,9.93,MR,1628019159
Jinchang,38.4953,102.1739,73.45,25,100,5.21,CN,1628019159
Lata,40.1629,-8.3327,66.34,83,100,4.25,PT,1628019160
Hobart,-42.8794,147.3294,48.06,77,85,1.99,AU,1628019160
Djebeniana,35.035,10.9081,87.6,73,0,11.54,TN,1628019160
Poli,-3.3333,36.8,62.87,68,20,11.5,TZ,1628019161
Sawtell,-30.3833,153.1,47.19,94,0,4.61,AU,1628019161
Olinda,-8.0089,-34.8553,78.53,78,75,12.66,BR,1628019161
Dikson,73.5069,80.5464,47.98,82,98,5.97,RU,1628019162
Chokurdakh,70.6333,147.9167,41.97,54,17,7.47,RU,1628019162
Busselton,-33.65,115.3333,44.1,77,86,2.98,AU,1628019162
Avarua,-21.2078,-159.775,75.25,73,20,6.91,CK,1628019162
Kapaa,22.0752,-159.319,80.92,74,90,4.0,US,1628019163
Bredasdorp,-34.5322,20.0403,56.52,82,2,3.44,ZA,1628019163
Mount Gambier,-37.8333,140.7667,46.31,93,75,9.22,AU,1628019163
Rikitea,-23.1203,-134.9692,69.93,56,100,16.69,PF,1628019164
Ushuaia,-54.8,-68.3,44.26,53,40,16.11,AR,1628019164
Grand Gaube,-20.0064,57.6608,70.2,71,0,3.0,MU,1628019164
Mataura,-46.1927,168.8643,32.49,98,61,3.13,NZ,1628019165
Pangai,-19.8,-174.35,69.91,64,75,5.75,TO,1628019165
Cuiluan,47.72,128.648,65.59,97,78,2.98,CN,1628019165
Severo-Kuril'sk,50.6789,156.125,51.76,78,100,16.4,RU,1628019166
Hong Kong,22.2855,114.1577,83.32,88,100,1.01,HK,1628018946
Kavieng,-2.5744,150.7967,81.52,77,11,6.06,PG,1628019166
Alice Springs,-23.7,133.8833,35.15,69,1,3.44,AU,1628019071
Haines Junction,60.7522,-137.5108,60.75,77,95,2.3,CA,1628019167
Kruisfontein,-34.0033,24.7314,58.89,53,0,6.91,ZA,1628019167
Garden City,42.3256,-83.331,80.92,44,90,1.01,US,1628019129
Krasnoarmeysk,51.0239,45.6969,71.08,56,94,3.44,RU,1628019167
Bluff,-46.6,168.3333,32.81,87,61,7.27,NZ,1628019168
Clyde River,70.4692,-68.5914,41.23,87,40,16.11,CA,1628019168
Esperance,-33.8667,121.9,48.04,77,69,6.15,AU,1628019168
Qaanaaq,77.484,-69.3632,41.58,86,100,4.52,GL,1628019168
Malakal,9.5334,31.6605,73.0,89,96,4.36,SS,1628019169
Ambilobe,-13.2,49.05,67.6,86,40,4.09,MG,1628019169
Vaini,-21.2,-175.2,68.16,83,20,6.91,TO,1628019169
Port Alfred,-33.5906,26.891,67.98,40,0,10.04,ZA,1628019170
Tombouctou,20.0,-3.0,101.5,21,7,5.01,ML,1628019170
Willowmore,-33.2926,23.4895,57.42,23,0,3.6,ZA,1628019170
Bethel,41.3712,-73.414,78.1,57,1,0.0,US,1628019171
Omboué,-1.5746,9.2618,74.61,87,52,8.93,GA,1628019171
Verāval,20.9,70.3667,81.59,84,100,19.8,IN,1628019171
Albany,42.6001,-73.9662,79.14,54,100,3.0,US,1628018959
Isabela,6.7085,121.9711,79.32,87,100,3.78,PH,1628019172
Seoul,37.5683,126.9778,80.17,86,75,6.91,KR,1628018832
Yangi Marg`ilon,40.4272,71.7189,79.52,41,96,11.5,UZ,1628019172
Kabalo,-6.05,26.9167,81.09,30,2,3.67,CD,1628019173
Vestmannaeyjar,63.4427,-20.2734,54.0,90,100,6.13,IS,1628019173
Kungurtug,50.5994,97.5228,47.93,83,7,1.72,RU,1628019173
Hilo,19.7297,-155.09,74.93,86,90,6.91,US,1628019174
Ostrovnoy,68.0531,39.5131,57.58,92,100,15.12,RU,1628019174
Punta Arenas,-53.15,-70.9167,44.71,70,75,17.27,CL,1628018984
Yamada,39.4667,141.95,76.51,90,99,3.76,JP,1628019174
Mandalgovi,45.7625,106.2708,51.6,86,100,22.15,MN,1628019175
Tasiilaq,65.6145,-37.6368,46.56,79,100,3.53,GL,1628019175
Tuktoyaktuk,69.4541,-133.0374,48.2,71,20,3.44,CA,1628019176
North Bend,43.4065,-124.2243,69.93,86,20,11.5,US,1628019176
Poplar Bluff,36.757,-90.3929,80.87,50,1,6.91,US,1628019176
Barrow,71.2906,-156.7887,51.82,74,90,19.57,US,1628019176
San Jerónimo,-11.9472,-75.2829,61.09,37,86,9.26,PE,1628019177
Yima,34.7381,111.8839,73.02,83,37,2.26,CN,1628019177
Provideniya,64.3833,-173.3,51.91,93,90,20.13,RU,1628019177
Cabo San Lucas,22.8909,-109.9124,98.51,52,75,14.97,MX,1628019178
Praia,14.9215,-23.5087,75.74,94,90,14.97,CV,1628019178
Nikolskoye,59.7035,30.7861,59.02,96,42,6.64,RU,1628019178
Departamento de Maldonado,-34.6667,-54.9167,58.39,71,0,3.18,UY,1628019179
Anloga,5.7947,0.8973,79.02,89,95,14.5,GH,1628019179
Talnakh,69.4865,88.3972,64.92,56,57,1.57,RU,1628019179
Río Gallegos,-51.6226,-69.2181,48.25,40,0,17.27,AR,1628019180
Disna,55.568,28.1971,54.84,92,50,5.84,BY,1628019180
New Norfolk,-42.7826,147.0587,47.71,83,57,1.99,AU,1628019180
Neepawa,50.2289,-99.4664,86.4,14,100,9.93,CA,1628019181
Lamar,33.6668,-95.5836,89.89,56,20,0.0,US,1628019181
Ribeira Grande,38.5167,-28.7,79.2,65,20,2.3,PT,1628019181
Sakaiminato,35.55,133.2333,78.78,83,20,3.44,JP,1628019182
Plaeng Yao,13.5847,101.284,85.71,83,100,5.64,TH,1628019182
Atuona,-9.8,-139.0333,77.54,70,20,19.82,PF,1628019121
Alta Floresta,-9.8756,-56.0861,94.82,21,20,10.36,BR,1628019182
Cidreira,-30.1811,-50.2056,58.44,83,16,8.99,BR,1628019183
Nome,64.5011,-165.4064,67.15,77,1,10.36,US,1628019119
Kampot,10.6167,104.1833,80.65,84,100,9.98,KH,1628019183
Puerto Ayora,-0.7393,-90.3518,76.96,77,87,12.75,EC,1628019183
Port Elizabeth,-33.918,25.5701,61.11,62,40,6.91,ZA,1628019157
Khatanga,71.9667,102.5,64.72,61,100,9.37,RU,1628019184
Masty,53.4122,24.5387,56.03,87,9,5.01,BY,1628019184
Hermanus,-34.4187,19.2345,54.9,95,15,0.87,ZA,1628019184
George Town,5.4112,100.3354,82.33,86,40,3.0,MY,1628019161
Saskylakh,71.9167,114.0833,52.05,68,45,5.75,RU,1628019185
Ridgecrest,35.6225,-117.6709,106.3,10,1,1.01,US,1628019022
Saint-Philippe,-21.3585,55.7679,67.59,66,0,8.75,RE,1628019185
Touros,-5.1989,-35.4608,76.1,71,96,15.99,BR,1628019186
Kavaratti,10.5669,72.642,81.12,80,55,16.11,IN,1628019186
San Matías,-16.3667,-58.4,90.03,22,100,4.9,BO,1628019186
East London,-33.0153,27.9116,68.22,30,0,7.0,ZA,1628019186
Naze,28.3667,129.4833,78.15,85,73,13.6,JP,1628019187
Kiama,-34.6833,150.8667,52.38,62,3,10.0,AU,1628019187
Baghdad,33.3406,44.4009,102.11,21,0,5.75,IQ,1628019187
Walvis Bay,-22.9575,14.5053,60.1,94,50,5.75,NA,1628019188
Denpasar,-8.65,115.2167,80.26,89,75,14.97,ID,1628019061
Porto-Novo,6.4965,2.6036,78.62,87,61,5.06,BJ,1628019188
Bhānvad,21.9264,69.7736,80.42,83,100,16.98,IN,1628019188
Butaritari,3.0707,172.7902,81.3,78,100,13.22,KI,1628019189
Jamestown,42.097,-79.2353,74.52,46,20,6.91,US,1628019079
Carnarvon,-24.8667,113.6333,51.87,45,0,12.66,AU,1628019007
Northam,51.0333,-4.2167,62.29,81,97,2.73,GB,1628019189
Port Blair,11.6667,92.75,82.08,83,99,17.96,IN,1628019189
Saint Paul Harbor,57.79,-152.4072,56.71,72,90,3.44,US,1628019190
Coyhaique,-45.5752,-72.0662,48.81,72,100,5.39,CL,1628019190
Geraldton,-28.7667,114.6,45.01,81,0,5.75,AU,1628019068
Sambava,-14.2667,50.1667,69.15,88,12,11.9,MG,1628019190
São Filipe,14.8961,-24.4956,75.06,97,100,12.39,CV,1628019191
Den Helder,52.9599,4.7593,63.99,70,0,8.01,NL,1628018996
Lebu,-37.6167,-73.65,54.97,78,10,17.07,CL,1628019191
Padang,-0.9492,100.3543,77.04,88,91,3.31,ID,1628019192
Ivybridge,50.3904,-3.9191,62.85,78,50,1.68,GB,1628019192
Leh,34.1667,77.5833,65.8,36,36,4.63,IN,1628019192
Thompson,55.7435,-97.8558,82.56,42,20,13.8,CA,1628018875
Cape Town,-33.9258,18.4232,58.87,81,75,1.01,ZA,1628019193
Shingū,33.7333,135.9833,76.91,91,53,4.68,JP,1628019193
Henties Bay,-22.116,14.2845,59.86,88,50,7.45,NA,1628019193
Tautira,-17.7333,-149.15,78.82,80,70,9.75,PF,1628019193
Roald,62.5833,6.1333,59.05,67,20,6.91,NO,1628019194
Rocha,-34.4833,-54.3333,55.67,80,0,5.48,UY,1628019194
Lorengau,-2.0226,147.2712,81.57,79,37,6.13,PG,1628019194
Rimbey,52.6334,-114.2353,82.24,35,0,10.09,CA,1628019195
Ixtapa,20.7,-105.2,90.23,74,75,12.66,MX,1628019195
Bowen,-20.0167,148.2333,53.82,86,0,6.02,AU,1628019195
Upernavik,72.7868,-56.1549,43.11,89,96,6.89,GL,1628019195
Churapcha,62.0025,132.4325,55.92,74,25,2.46,RU,1628019196
Shirokiy,49.758,129.523,64.36,96,100,4.21,RU,1628019196
Changli,39.7042,119.1506,71.6,89,100,1.14,CN,1628019196
Illela,13.7292,5.2975,89.24,50,37,10.67,NG,1628019197
Washougal,45.5826,-122.3534,95.45,48,1,4.61,US,1628019197
Letychiv,49.3826,27.6305,65.19,58,91,2.71,UA,1628019197
Mikuni,36.2171,136.1519,78.71,81,31,6.87,JP,1628019198
Khanbari,27.3747,87.2039,73.96,90,100,1.72,NP,1628019198
Nanortalik,60.1432,-45.2371,45.25,92,100,10.78,GL,1628019198
Dunda,-8.1167,34.25,62.92,63,4,3.91,TZ,1628019199
Cooma,-36.2333,149.1333,38.97,65,15,17.27,AU,1628019199
Tabou,4.423,-7.3528,76.8,81,79,7.0,CI,1628019199
Oskarshamn,57.2645,16.4484,62.8,80,85,5.44,SE,1628019182
Chenzhou,25.8,113.0333,77.29,87,40,1.86,CN,1628019200
Saint-Augustin,51.226,-58.6502,71.11,49,100,22.82,CA,1628019200
Barra de Tecoanapa,16.5167,-98.75,87.03,68,100,9.06,MX,1628019200
Bathsheba,13.2167,-59.5167,86.61,62,20,11.5,BB,1628019200
Businga,3.3333,20.8833,74.88,71,34,2.13,CD,1628019201
San Vicente,-26.6167,-54.1333,66.24,33,9,4.0,AR,1628019201
Cherskiy,68.75,161.3,37.76,86,95,16.71,RU,1628019201
Picota,-6.9197,-76.3304,91.89,37,17,0.89,PE,1628019202
Kjøllefjord,70.9457,27.3465,50.05,87,20,9.22,NO,1628019202
Russell,32.3502,-85.1999,86.79,66,75,6.91,US,1628019133
Pangody,65.85,74.4859,59.45,66,100,11.48,RU,1628019203
Hithadhoo,-0.6,73.0833,81.72,75,100,8.41,MV,1628019203
Camacupa,-12.0167,17.4833,65.66,27,0,4.94,AO,1628019203
Bilma,18.6853,12.9164,98.38,23,4,7.36,NE,1628019203
Marzuq,14.4,46.4667,84.47,52,88,7.49,YE,1628019204
Zhalantun,48.0,122.7167,62.55,92,100,1.32,CN,1628019204
Yulara,-25.2406,130.9889,40.84,60,0,4.61,AU,1628019205
Prince Rupert,54.3161,-130.3201,57.29,97,90,5.75,CA,1628019143
Adra,36.7496,-3.0206,87.82,76,0,3.27,ES,1628019205
Mossamedes,-15.1961,12.1522,67.26,85,0,8.9,AO,1628019205
Markova,48.6758,24.4138,56.93,90,5,5.5,UA,1628019206
Yerbogachën,61.2767,108.0108,57.65,69,0,4.92,RU,1628019206
Guerrero Negro,27.9769,-114.0611,87.64,46,70,8.86,MX,1628019206
Nuevo Progreso,23.1667,-97.95,96.6,48,77,12.44,MX,1628019206
Arlit,18.7369,7.3853,102.09,17,37,2.98,NE,1628019207
Avera,33.194,-82.5271,82.27,72,82,9.53,US,1628019207
Progreso,21.2833,-89.6667,91.51,66,39,15.64,MX,1628019207
Bambous Virieux,-20.3428,57.7575,70.05,60,20,12.66,MU,1628019208
Los Llanos de Aridane,28.6585,-17.9182,69.55,90,40,11.5,ES,1628019208
Ringe,55.2451,10.4706,58.19,76,40,5.03,DK,1628019208
Muyezerskiy,63.9333,31.65,48.45,94,100,14.7,RU,1628019209
Wellington,-41.2866,174.7756,47.86,74,75,3.0,NZ,1628019074
Buluang,13.3068,123.3425,82.04,81,100,10.89,PH,1628019209
Dingzhou,38.5131,114.9956,77.11,88,100,3.24,CN,1628019210
Saint George,37.1041,-113.5841,102.67,21,1,1.01,US,1628019004
Ende,-8.8432,121.6623,76.26,87,62,4.43,ID,1628019210
Yumen,40.2833,97.2,72.43,15,100,8.41,CN,1628019210
Mar del Plata,-38.0023,-57.5575,64.42,54,0,1.99,AR,1628019183
Peniche,39.3558,-9.3811,71.76,85,100,13.94,PT,1628018935
Andenes,69.3143,16.1194,50.07,81,75,6.91,NO,1628019211
Edd,13.9297,41.6925,90.64,65,99,2.04,ER,1628019211
Iporá,-16.4419,-51.1178,87.66,19,72,7.54,BR,1628019086
Oneonta,42.4529,-75.0638,78.1,54,100,2.64,US,1628019212
San Cristobal,7.7669,-72.225,80.78,59,99,7.74,VE,1628019212
Pisco,-13.7,-76.2167,66.25,72,40,9.22,PE,1628019212
Port Moresby,-9.4431,147.1797,74.1,89,74,3.69,PG,1628019213
Fortuna,40.5982,-124.1573,86.18,79,1,10.36,US,1628019213
Tsurib,42.2368,46.8307,58.91,69,8,8.46,RU,1628019213
Moses Lake,47.1301,-119.2781,93.29,27,1,4.61,US,1628018939
Ust-Nera,64.5667,143.2,51.93,56,0,6.04,RU,1628019214
San Francisco,37.7749,-122.4194,89.64,73,20,7.0,US,1628019000
Archidona,37.0965,-4.3887,70.23,69,0,5.68,ES,1628019214
Omiš,43.4447,16.6886,76.93,58,46,2.89,HR,1628019214
High Level,58.5169,-117.136,71.71,94,75,4.61,CA,1628019215
Nouadhibou,20.931,-17.0347,73.38,78,0,10.36,MR,1628019215
Ayagoz,47.9714,80.4392,71.22,45,67,9.33,KZ,1628019215
Dudinka,69.4058,86.1778,63.93,72,94,2.55,RU,1628019216
Muzhi,65.3667,64.6667,62.44,73,65,4.34,RU,1628019216
Morón,-34.6534,-58.6198,66.0,44,35,2.62,AR,1628019216
Hay River,60.8156,-115.7999,67.98,73,90,8.05,CA,1628019169
Enshi,30.3,109.4833,73.18,96,0,1.23,CN,1628019217
Saint-Pierre,-21.3393,55.4781,67.68,53,90,10.36,RE,1628019217
Bushehr,28.9684,50.8385,91.49,52,0,0.0,IR,1628018943
Coquimbo,-29.9533,-71.3436,58.73,72,20,13.8,CL,1628019130
Te Anau,-45.4167,167.7167,32.59,94,100,0.65,NZ,1628019218
Faanui,-16.4833,-151.75,79.23,74,17,10.13,PF,1628019218
La Macarena,2.1837,-73.7849,83.43,57,100,5.23,CO,1628019218
Iqaluit,63.7506,-68.5145,46.13,81,90,15.01,CA,1628019219
Eyl,7.9803,49.8164,78.8,75,19,23.96,SO,1628019219
Borsad,22.4167,72.9,81.12,79,100,13.71,IN,1628019219
Kudymkar,59.0173,54.656,67.15,84,6,5.32,RU,1628019219
Tual,-5.6667,132.75,80.73,75,95,19.08,ID,1628019220
Camacha,33.0833,-16.3333,71.02,64,40,12.66,PT,1628019220
Moïssala,8.3404,17.7663,70.25,97,100,4.45,TD,1628019220
Kano,12.0001,8.5167,80.98,63,22,6.58,NG,1628019221
Chui,-33.6971,-53.4616,56.17,79,3,4.85,UY,1628019221
Payo,-3.7508,103.6372,74.25,88,46,2.62,ID,1628019221
Marsh Harbour,26.5412,-77.0636,83.84,65,100,5.86,BS,1628019221
Vytegra,61.0064,36.4481,59.09,81,5,11.21,RU,1628019222
Hasaki,35.7333,140.8333,77.29,89,1,8.41,JP,1628019222
Goderich,43.7501,-81.7165,77.04,60,0,8.05,CA,1628019222
Batagay-Alyta,67.8006,130.4114,57.13,49,90,4.41,RU,1628019223
Samarai,-10.6167,150.6667,78.64,83,81,11.97,PG,1628019223
Dossor,47.5272,52.9811,90.93,20,5,8.99,KZ,1628019223
Newtownards,54.5924,-5.6909,63.34,72,98,1.99,GB,1628019224
Athabasca,54.7169,-113.2854,75.02,40,49,9.89,CA,1628018931
Vanavara,60.34,102.2797,56.91,81,99,2.33,RU,1628019224
Paita,-5.0892,-81.1144,75.76,68,62,17.13,PE,1628019224
Las Vegas,36.175,-115.1372,106.27,17,1,0.0,US,1628018995
Harlingen,26.1906,-97.6961,96.71,55,40,0.0,US,1628019060
Meulaboh,4.1363,96.1285,75.34,93,97,6.2,ID,1628019225
Auki,-8.7676,160.7034,74.7,86,25,5.91,SB,1628019225
Saint-Gabriel,46.3001,-73.3824,76.77,64,63,10.89,CA,1628019225
Gao,16.6362,1.637,95.9,30,83,6.64,ML,1628019226
Dillon,34.4166,-79.3712,74.82,96,100,11.12,US,1628019188
Koulamoutou,-1.1303,12.4736,80.49,46,74,0.85,GA,1628019226
Teluk Nibung,3.001,99.8164,76.12,92,65,4.81,ID,1628019227
Tavricheskoye,54.5851,73.6395,57.11,93,81,6.69,RU,1628019227
Plymouth,41.8334,-70.8328,79.16,67,1,5.75,US,1628019227
Airai,-8.9266,125.4092,56.34,68,90,2.93,TL,1628019227
Bontang,0.1333,117.5,76.75,90,84,6.69,ID,1628019228
Port Macquarie,-31.4333,152.9167,53.56,55,0,9.17,AU,1628019016
Vidim,56.4088,103.1106,58.17,75,100,2.89,RU,1628019228
Aktau,43.65,51.2,84.78,36,85,6.93,KZ,1628019228
Lüderitz,-26.6481,15.1594,61.54,70,13,6.64,NA,1628019229
Grindavik,63.8424,-22.4338,57.15,82,75,9.22,IS,1628019229
Kumla,59.1277,15.1434,58.95,72,0,3.44,SE,1628019229
Warrnambool,-38.3833,142.4833,49.8,85,90,15.19,AU,1628019074
Khrebtovaya,56.7032,104.2494,58.39,70,100,1.86,RU,1628019230
Richards Bay,-28.783,32.0377,65.43,74,0,17.05,ZA,1628019095
Tataouine,32.9297,10.4518,101.28,34,0,5.86,TN,1628019230
Asău,46.4333,26.4,65.32,83,35,0.96,RO,1628019231
Maningrida,-12.0667,134.2667,67.87,95,100,8.99,AU,1628019231
Ancud,-41.8697,-73.8203,56.43,64,100,4.85,CL,1628019231
Portland,45.5234,-122.6762,88.45,49,75,1.99,US,1628018927
Longyearbyen,78.2186,15.6401,46.24,66,75,25.32,SJ,1628019232
Hamilton,39.1834,-84.5333,82.15,47,40,1.01,US,1628018964
Havelock,34.8791,-76.9013,75.15,95,90,4.0,US,1628019232
Souillac,-20.5167,57.5167,70.18,60,20,12.66,MU,1628019232
Dali,25.7,100.1833,63.37,81,3,0.43,CN,1628019233
Tubualá,9.5167,-79.0333,86.32,72,100,1.88,PA,1628019233
Kahului,20.8947,-156.47,81.66,79,40,20.71,US,1628019230
Tymovskoye,50.8456,142.655,53.33,96,100,5.73,RU,1628019233
Finschhafen,-6.6024,147.8681,77.32,83,40,5.66,PG,1628019234
Norman Wells,65.282,-126.8329,53.64,94,90,3.44,CA,1628019234
Vardø,70.3705,31.1107,47.95,93,75,24.16,NO,1628019234
Cayenne,4.9333,-52.3333,86.09,73,75,4.0,GF,1628019235
Orange,33.7,-117.7675,108.97,49,20,1.99,US,1628019235
Macusani,-14.0833,-70.4333,41.74,58,85,14.2,PE,1628019235
Sorong,-0.8833,131.25,79.36,81,90,3.8,ID,1628019236
Cedar Lake,41.3648,-87.4411,80.89,56,71,1.43,US,1628019232
Jalu,29.0331,21.5482,96.21,14,0,11.83,LY,1628019236
Palmer,42.1584,-72.3287,77.32,53,75,0.0,US,1628019236
